Tweet,sentiment_score
"#AXISBANK Stock volumes added in demand(718 to 725) zone ??

#Nifty https://t.co/pKhx1zAGXK",0.0
"#AxisBank 
F-U-C-K you all
F-U-C-K you all
F-U-C-K you all Axis Bank employees and Amitabh Choudhary",0.0
#AXISBANK https://t.co/IzuRSbOL2z,0.0
"15 Indian banks form firm to process Letters of Credit on #blockchain

The move will remove paperwork and reduce tr? https://t.co/7ng1ulxPuM",-0.2
"RT @QuiteHacker: 15 Indian banks form firm to process Letters of Credit on #blockchain

The move will remove paperwork and reduce transacti?",-0.2
"Axis Bank Limited Target Hit
#AxisBank #StockMarket 
Join Telegram https://t.co/hKV4lfvLEh https://t.co/Rn5mbVgL7s",-0.07142857142857142
"Axis Bank Limited Target Hit
#AxisBank #StockMarket 
Join Telegram https://t.co/5XdKaDoSZg https://t.co/IpEML25aVl",-0.07142857142857142
"#Hold #AXISBANK as per #Technicals. #Nifty #Sensex

It forms #Hangingman #CandleStick pattern in the uptrend.? https://t.co/lhoPUS3yyB",0.0
RT @karandx: I did SIP from @AxisBank. This month 4000 deducted but only 2000 credited in polortfolio also they deduct Rs. 50 for SIP bounc?,0.0
#innovation #nse #bse #trading #stocks #stockmarket #AnalystMeet/InvestorMeet #AXISBANK - Announcement under Regula? https://t.co/2wHUcl5YNA,0.0
#innovation #nse #bse #trading #stocks #stockmarket #AnalystMeet/InvestorMeet #AXISBANK - Analysts/Institutional In? https://t.co/xWG67oyfR0,0.0
RT @vikas87_singh: #Warning #AxisBank ?? ??????? ????? ???? ?? ???? ?? ??? ????? ??? ???? CC ???? ?? ?? ??? ??? ??? ????? ?? ?? ?? ???? ??,0.0
"@AxisBankSupport @AxisBank even after closing account , your staff calling me tell me that I am wrong, with bad att? https://t.co/7tb3LeztO9",-0.5999999999999999
"@AxisBankSupport @AxisBank even after closing account , your staff calling me tell me that I am wrong, with bad att? https://t.co/7tb3LeztO9",-0.5999999999999999
"@AxisBankSupport @AxisBankSupport @AxisBank even after closing account , your staff calling me tell me that I am wr? https://t.co/4xTLPH72UG",0.0
"@AxisBankSupport @AxisBankSupport @AxisBank even after closing account , your staff calling me tell me that I am wr? https://t.co/4xTLPH72UG",0.0
"@AxisBankSupport Again same copy paste msg, not solution , #AxisBank #staff #rude",-0.15
"@AxisBankSupport Responding is not solution , #AxisBank #staff #rude",-0.3
"10 Mutual Fund apps in India that are making a name for itself

See: https://t.co/cYn008ZUU8

#isrgrajan? https://t.co/smR6HQR6oc",0.0
"10 Mutual Fund apps in India that are making a name for itself

See: https://t.co/cYn008ZUU8

#isrgrajan? https://t.co/DPnFTgQFJe",0.0
"Fast &amp; Stress-Free Home Loan Approvals! 

Know Best Rates from #HDFC, #AxisBank, #ICICI, #FederalBank, #LIC, #PNB a? https://t.co/UPbu30zB6o",0.625
"RT @HomelyYours: Fast &amp; Stress-Free Home Loan Approvals! 

Know Best Rates from #HDFC, #AxisBank, #ICICI, #FederalBank, #LIC, #PNB and all?",0.625
"RT @ParakhNavin: 25 ???????? 25,000 ??. ??
23,430 ??. ?????????? ????? ??? ?????? ??????? .
???? ??????? ??? !
@AxisBank #AxisBank #AXIS",0.0
why i advised you guys to keep shorting near 760 levels..... why it couldnt come in my buying list....... #AxisBank? https://t.co/7lKIH9fwM1,0.1
"Axis Bank makes banking conversational; enables secured communication over WhatsApp 
Read More :? https://t.co/DPkZbqjIx7",0.5
"RT @InstaaPR: Axis Bank makes banking conversational; enables secured communication over WhatsApp 
Read More : https://t.co/0GSxCadHNP 

#I?",0.5
"Rip #MilkhaSingh 

https://t.co/NRv7MWMkuW
.
.
.
#onlinepayment #google #googleforbusiness #googlepay #promotion? https://t.co/km7QLYxur0",0.0
BharatPe in talks to raise $250 million led by Tiger Capital: Report #TigerCapital #Bharatpe #China? https://t.co/nriTR4jPgA,0.0
BharatPe in talks to raise $250 million led by Tiger Capital: Report #TigerCapital #Bharatpe #China? https://t.co/odwCaK2hhl,0.0
@AxisBank @AxisBankSupport Pls share your #NodalOfficer #PricipalNodalOffcier twitter handle. Why digital methods n? https://t.co/h2mtKGGm6c,0.0
@AxisBank @AxisBankSupport Pls share your #NodalOfficer #PricipalNodalOffcier twitter handle. Why digital methods n? https://t.co/h2mtKGGm6c,0.0
"@AxisBank #AxisBank #AXIS #axis #bankninfty 

Good buy near 685-700. For a target of 900- 1100- 1400. 
SL - 670 https://t.co/4oyXa1kyJa",0.39999999999999997
"RT @Namangoel29: @AxisBank #AxisBank #AXIS #axis #bankninfty 

Good buy near 685-700. For a target of 900- 1100- 1400. 
SL - 670 https://t.?",0.39999999999999997
RT @HimaniMish: Thank You @SheThePeopleTV for this #digitalwomanawards 2018  #CNBC #AxisBank #BusinessStandard  @DaMilanoBrand,0.0
RT @HimaniMish: Thank You @SheThePeopleTV for this #digitalwomanawards 2018  #CNBC #AxisBank #BusinessStandard  @DaMilanoBrand,0.0
#axisbank #NirmalaSitharaman We have applied for axis bank business loan interest subvention scheme and we have sub? https://t.co/2dRQlh1duh,0.0
"RT @bschool_bulls: Banking sector updates.

#stockmarket #investing #stocks #trading #money #investment #finance #ICICI #knowledge #busines?",0.0
"RT @bschool_bulls: Banking sector updates.

#stockmarket #investing #stocks #trading #money #investment #finance #ICICI #knowledge #busines?",0.0
"RT @bschool_bulls: Banking sector updates.

#stockmarket #investing #stocks #trading #money #investment #finance #ICICI #knowledge #busines?",0.0
"RT @bschool_bulls: Banking sector updates.

#stockmarket #investing #stocks #trading #money #investment #finance #ICICI #knowledge #busines?",0.0
"#Fraud
#AxisBank Axis Bank  is unauthorisely transferring  my money  to Google Pay???? https://t.co/Cjlpfi9TYq",0.0
"RT @DrRavindraDewas: #Fraud
#AxisBank Axis Bank  is unauthorisely transferring  my money  to Google Pay???? https://t.co/Cjlpfi9TYq",0.0
#AxisBank why you are looting the hard money of innocent people? Plz stop such kind of loot and do the needful for? https://t.co/OQktSumZp0,0.20208333333333334
RT @s4sunil303: #AxisBank why you are looting the hard money of innocent people? Plz stop such kind of loot and do the needful for the cust?,0.20208333333333334
@s4sunil303 @AxisBankSupport @AxisBank @AxisBankSupport why r u sending the same message in my DM again n again. I? https://t.co/nklxgUE1o5,0.0
@AxisBankSupport So it is a great time to bye bye #AxisBank CC,0.8
"@AxisBankSupport Harrashment by #AxisBank.
 even after saying that i have no phone balance to call your paid number? https://t.co/ccge9gzhsb",0.0
#Warning #AxisBank ?? ??????? ????? ???? ?? ???? ?? ??? ????? ??? ???? CC ???? ?? ?? ??? ??? ??? ????? ?? ?? ?? ??? https://t.co/gmZ4OV1v39,0.0
@s4sunil303 @AxisBankSupport @AxisBank @AxisBankSupport why r u sending the same message in my DM again n again. I? https://t.co/nklxgUE1o5,0.0
@s4sunil303 @AxisBankSupport @AxisBank @AxisBankSupport why r u sending the same message in my DM again n again. I? https://t.co/nklxgUE1o5,0.0
"@aajtak @CNBC_Awaaz @ZeeBusiness @UPGovt @dgpup #AxisBank  ???? ?????? ???? ?????? ?? ?????? ???? ?????? ??? ???, ?? https://t.co/lhOm3TgFpS",0.0
"@aajtak @CNBC_Awaaz @ZeeBusiness @UPGovt @dgpup #AxisBank  ???? ?????? ???? ?????? ?? ?????? ???? ?????? ??? ???, ?? https://t.co/lhOm3TgFpS",0.0
"@aajtak @CNBC_Awaaz @ZeeBusiness @UPGovt @dgpup #AxisBank  ???? ?????? ???? ?????? ?? ?????? ???? ?????? ??? ???, ?? https://t.co/lhOm3TgFpS",0.0
"@aajtak @CNBC_Awaaz @ZeeBusiness @UPGovt @dgpup #AxisBank  ???? ?????? ???? ?????? ?? ?????? ???? ?????? ??? ???, ?? https://t.co/lhOm3TgFpS",0.0
